bayes fit: R-hat 1.0000, min ESS 4224, 0 divergences, converged=True
advancement probabilities (%), 50000 sims, bayes_poisson:
    team_id group  reach_r16  reach_qf  reach_sf  reach_final  champion
  argentina     J       68.0      52.8      39.2         23.7      14.8
     brazil     C       71.0      52.6      36.8         23.9      14.2
      spain     H       65.3      41.9      30.9         18.4      11.3
    england     L       64.0      40.1      22.0         12.5       6.7
     france     I       61.6      33.8      21.2         12.0       6.5
   portugal     K       65.2      39.2      21.5         10.9       5.5
   colombia     K       64.0      38.2      20.7         10.5       5.3
    germany     E       63.3      33.4      19.6         10.0       4.6
    morocco     C       48.4      29.1      15.6          8.2       3.9
    belgium     G       63.2      35.4      16.3          7.7       3.8
netherlands     F       41.9      25.1      13.0          6.9       3.1
      japan     F       38.7      22.5      11.7          6.0       2.7
    uruguay     H       41.9      23.0      12.9          5.7       2.4
    ecuador     E       51.5      23.7      11.7          5.4       2.2
     mexico     A       59.4      27.8       9.5          3.8       1.3
switzerland     B       51.5      25.1       8.7          3.3       1.2
