advancement probabilities (%), 50000 sims, dixon_coles:
    team_id group  reach_r16  reach_qf  reach_sf  reach_final  champion
     brazil     C       75.0      56.9      40.2         26.3      15.6
      spain     H       69.8      45.9      35.4         21.8      13.6
  argentina     J       66.8      52.2      38.0         21.9      13.0
     france     I       66.7      37.8      25.2         14.8       8.1
    england     L       68.7      45.4      24.8         14.5       7.7
   portugal     K       69.1      42.4      23.9         12.2       6.3
    germany     E       69.0      37.6      22.9         12.1       5.8
   colombia     K       64.8      38.0      20.5          9.9       4.8
netherlands     F       48.2      31.5      16.9          9.0       4.2
    belgium     G       69.8      41.6      18.1          8.5       4.1
    morocco     C       45.1      25.8      12.4          5.8       2.4
    uruguay     H       42.7      23.8      13.2          5.6       2.3
    ecuador     E       52.2      22.5      10.6          4.5       1.8
switzerland     B       58.2      28.4      10.0          3.8       1.4
    croatia     L       41.0      19.6       8.8          3.6       1.3
      japan     F       29.7      15.8       7.2          3.2       1.2
